Label,Tunnel_Location_tm,category,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
DELOS Granite Fracture,2647,subsurface,34.16,0.25,24.04,0.21,13.68,0,3.83,94.81
DELOS Granite Fracture,2647,subsurface,34.22,0.25,24.09,0.21,20,0,3.99,93.02
DELOS Granite Fracture,2647,subsurface,35.3,0,24.18,0.21,10,0,4.09,96.33
DELOS Granite Fracture,2647,subsurface,35.99,0.22,24.82,0.29,15,0,4.06,93.37
DELOS Granite Fracture,2647,subsurface,30.85,0.26,24.52,0.25,19,0,4.24,94.41
DELOS Granite Fracture,2794,subsurface,23.01,1.15,9.05,0.64,,0,3.36,19.51
DELOS Granite Fracture,2794,subsurface,15.32,0.28,8.9,0.38,20.52,0,0.4,22.49
DELOS Granite Fracture,2794,subsurface,15.33,0.35,9.25,0.39,25,0,0.44,22
DELOS Granite Fracture,2794,subsurface,17.77,0.26,10.2,0.44,15,0,0.6,28.07
DELOS Granite Fracture,2794,subsurface,18.78,0.26,11.33,0.46,15,0,0.74,30.19
DELOS Granite Fracture,2794,subsurface,16.76,0.29,11.36,0.47,26,0,0.73,30.83
DELOS Granite Fracture,2848.1,subsurface,10.91,1.1,6.6,0.32,,0,2.95,11.3
